tool	size	bytes	run	wall_s	mbit_s	verified
atp2	8m	8388608	1	0.634	105.8	1
atp2	8m	8388608	2	0.934	71.9	1
rsync-ssh	8m	8388608	1	1.397	48.0	1
rsync-ssh	8m	8388608	2	1.481	45.3	1
atp2	64m	67108864	1	2.123	252.9	1
atp2	64m	67108864	2	2.098	255.9	1
rsync-ssh	64m	67108864	1	2.578	208.3	1
rsync-ssh	64m	67108864	2	2.544	211.0	1
atp2	256m	268435456	1	5.588	384.3	1
atp2	256m	268435456	2	6.305	340.6	1
rsync-ssh	256m	268435456	1	6.635	323.7	1
rsync-ssh	256m	268435456	2	6.563	327.2	1
