tool	size	bytes	run	wall_s	mbit_s	verified
atp-experiment	8m	8388608	1	0.729	92.1	1
atp-experiment	8m	8388608	2	0.697	96.3	1
atp-experiment	8m	8388608	3	0.716	93.7	1
rsync-ssh	8m	8388608	1	1.392	48.2	1
rsync-ssh	8m	8388608	2	1.357	49.5	1
rsync-ssh	8m	8388608	3	1.354	49.6	1
rclone-sftp	8m	8388608	1	1.680	39.9	1
rclone-sftp	8m	8388608	2	1.501	44.7	1
rclone-sftp	8m	8388608	3	1.738	38.6	1
atp-experiment	64m	67108864	1	1.997	268.8	1
atp-experiment	64m	67108864	2	2.335	229.9	1
atp-experiment	64m	67108864	3	2.166	247.9	1
rsync-ssh	64m	67108864	1	3.673	146.2	1
rsync-ssh	64m	67108864	2	2.563	209.5	1
rsync-ssh	64m	67108864	3	2.568	209.1	1
rclone-sftp	64m	67108864	1	2.625	204.5	1
rclone-sftp	64m	67108864	2	2.716	197.7	1
rclone-sftp	64m	67108864	3	2.734	196.4	1
atp-experiment	256m	268435456	1	5.154	416.7	1
atp-experiment	256m	268435456	2	5.067	423.8	1
atp-experiment	256m	268435456	3	5.302	405.0	1
rsync-ssh	256m	268435456	1	6.664	322.3	1
rsync-ssh	256m	268435456	2	6.724	319.4	1
rsync-ssh	256m	268435456	3	6.711	320.0	1
rclone-sftp	256m	268435456	1	6.666	322.2	1
rclone-sftp	256m	268435456	2	6.882	312.0	1
rclone-sftp	256m	268435456	3	6.664	322.3	1
