tool	size	bytes	run	wall_s	mbit_s	verified
atp2	8m	8388608	1	0.418	160.5	1
atp2	8m	8388608	2	0.418	160.5	1
atp2	8m	8388608	3	0.420	159.8	1
atp2-plain	8m	8388608	1	0.369	181.9	1
atp2-plain	8m	8388608	2	0.377	178.0	1
atp2-plain	8m	8388608	3	0.519	129.3	1
rsync-ssh	8m	8388608	1	1.387	48.4	1
rsync-ssh	8m	8388608	2	1.369	49.0	1
rsync-ssh	8m	8388608	3	1.402	47.9	1
scp	8m	8388608	1	1.399	48.0	1
scp	8m	8388608	2	1.464	45.8	1
scp	8m	8388608	3	1.481	45.3	1
atp2	64m	67108864	1	2.172	247.2	1
atp2	64m	67108864	2	1.965	273.2	1
atp2	64m	67108864	3	1.665	322.4	1
atp2-plain	64m	67108864	1	2.377	225.9	1
atp2-plain	64m	67108864	2	2.192	244.9	1
atp2-plain	64m	67108864	3	1.852	289.9	1
rsync-ssh	64m	67108864	1	2.605	206.1	1
rsync-ssh	64m	67108864	2	2.547	210.8	1
rsync-ssh	64m	67108864	3	2.607	205.9	1
scp	64m	67108864	1	2.639	203.4	1
scp	64m	67108864	2	2.659	201.9	1
scp	64m	67108864	3	3.907	137.4	1
atp2	256m	268435456	1	6.428	334.1	1
atp2	256m	268435456	2	6.296	341.1	1
atp2	256m	268435456	3	6.171	348.0	1
atp2-plain	256m	268435456	1	6.258	343.2	1
atp2-plain	256m	268435456	2	6.166	348.3	1
atp2-plain	256m	268435456	3	6.961	308.5	1
rsync-ssh	256m	268435456	1	6.508	330.0	1
rsync-ssh	256m	268435456	2	6.584	326.2	1
rsync-ssh	256m	268435456	3	6.535	328.6	1
scp	256m	268435456	1	6.537	328.5	1
scp	256m	268435456	2	6.749	318.2	1
scp	256m	268435456	3	11.802	182.0	1
