tool	size	bytes	run	wall_s	mbit_s	verified
atp-experiment	8m	8388608	1	1.065	63.0	1
atp-experiment	8m	8388608	2	0.713	94.1	1
atp-experiment	8m	8388608	3	1.066	63.0	1
rsync-ssh	8m	8388608	1	1.410	47.6	1
rsync-ssh	8m	8388608	2	1.334	50.3	1
rsync-ssh	8m	8388608	3	1.361	49.3	1
rclone-sftp	8m	8388608	1	4.232	15.9	1
rclone-sftp	8m	8388608	2	4.369	15.4	1
rclone-sftp	8m	8388608	3	4.243	15.8	1
atp-experiment	64m	67108864	1	2.706	198.4	1
atp-experiment	64m	67108864	2	2.243	239.4	1
atp-experiment	64m	67108864	3	1.965	273.2	1
rsync-ssh	64m	67108864	1	2.501	214.7	1
rsync-ssh	64m	67108864	2	2.515	213.5	1
rsync-ssh	64m	67108864	3	2.456	218.6	1
rclone-sftp	64m	67108864	1	5.579	96.2	1
rclone-sftp	64m	67108864	2	6.816	78.8	1
rclone-sftp	64m	67108864	3	5.526	97.2	1
atp-experiment	256m	268435456	1	5.129	418.7	1
atp-experiment	256m	268435456	2	4.825	445.1	1
atp-experiment	256m	268435456	3	5.479	391.9	1
rsync-ssh	256m	268435456	1	11.828	181.6	1
rsync-ssh	256m	268435456	2	6.463	332.3	1
rsync-ssh	256m	268435456	3	6.620	324.4	1
rclone-sftp	256m	268435456	1	9.984	215.1	1
rclone-sftp	256m	268435456	2	9.984	215.1	1
rclone-sftp	256m	268435456	3	10.007	214.6	1
